date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:18	57774/57774	---M--	200	added ('OK')	image/jpeg	etag:%22117a3e78bbffdc99261d22b880d0db11%22	https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/KUV100-NXT/7789/1587710501104/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/KUV100-NXT/7789/1587710501104/front-left-side-47.jpg	(from http://www.shivamahindra.in/new-cars.html)
10:52:18	55764/55764	---M--	200	added ('OK')	image/jpeg	etag:%2253b2da4e65cf4ac93f82bd5e705960ed%22	https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Scorpio/7767/1592459774750/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Scorpio/7767/1592459774750/front-left-side-47.jpg	(from http://www.shivamahindra.in/new-cars.html)
10:52:18	28297/28297	---M--	200	added ('OK')	image/jpeg	etag:%22e00c0e6e03cbd3f861abec07e519a84a%22	https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Bolero/7718/1585205722972/front-left-side-47.jpg	C:/Users/HP/Desktop/siva/stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/Bolero/7718/1585205722972/front-left-side-47.jpg	(from http://www.shivamahindra.in/new-cars.html)
10:52:21	4127/4127	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f327776-101f%22	http://www.shivamahindra.in/js/emicalculator.js?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/js/emicalculatorbb35.js	(from http://www.shivamahindra.in/finance.html)
10:52:21	30021/30021	---MCZ	200	added ('OK')	text/css	etag:W/%225f327776-7545%22	http://www.shivamahindra.in/css/jquery-ui.min.css	C:/Users/HP/Desktop/siva/www.shivamahindra.in/css/jquery-ui.min.css	(from http://www.shivamahindra.in/insurance.html)
10:52:28	239576/239576	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f327776-3a7d8%22	http://www.shivamahindra.in/themes/mahindra-rise/js/jquery-ui.min.js?v=1597142902	C:/Users/HP/Desktop/siva/www.shivamahindra.in/themes/mahindra-rise/js/jquery-ui.minbb35.js	(from http://www.shivamahindra.in/finance.html)
10:52:30	56305/56305	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:29%20GMT	http://www.shivamahindra.in/outlet/showroom-dilshad-garden-new-delhi.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/showroom-dilshad-garden-new-delhi.html	(from http://www.shivamahindra.in/outlet.html)
10:52:32	56491/56491	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Aug%202020%2005:22:31%20GMT	http://www.shivamahindra.in/outlet/showroom-opposite--vaishali-metro-station-sahibabad.html	C:/Users/HP/Desktop/siva/www.shivamahindra.in/outlet/showroom-opposite--vaishali-metro-station-sahibabad.html	(from http://www.shivamahindra.in/outlet.html)
10:52:32	65905/65905	---M--	200	added ('OK')	text/javascript	date:Thu,%2023%20Jul%202020%2017:43:26%20GMT	https://www.gstatic.com/charts/loader.js	C:/Users/HP/Desktop/siva/www.gstatic.com/charts/loader.js	(from http://www.shivamahindra.in/finance.html)
10:52:33	264556/264556	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f2d2c44-4096c%22	http://www.shivamahindra.in/assets-theme/js/jqueryui.js?v=1596795972	C:/Users/HP/Desktop/siva/www.shivamahindra.in/assets-theme/js/jqueryui5ff5.js	(from http://www.shivamahindra.in/insurance.html)
